Cast Vote Record,Precinct,Ballot Style,"AUTHORIZING THE TOWN OF SCITUATE TO ISSUE GENERAL OBLIGATION BONDS IN AN AMOUNT NOT TO EXCEED $1,700,000 TO FINANCE A NEW POLICE STATION"
640,Precinct 3003,Precinct 3003,Reject
641,Precinct 3003,Precinct 3003,Reject
642,Precinct 3003,Precinct 3003,Approve
643,Precinct 3003,Precinct 3003,Approve
644,Precinct 3003,Precinct 3003,Reject
645,Precinct 3003,Precinct 3003,Reject
646,Precinct 3003,Precinct 3003,Reject
647,Precinct 3003,Precinct 3003,Reject
648,Precinct 3003,Precinct 3003,Approve
649,Precinct 3003,Precinct 3003,Reject
650,Precinct 3003,Precinct 3003,Reject
651,Precinct 3003,Precinct 3003,Approve
652,Precinct 3003,Precinct 3003,Reject
653,Precinct 3003,Precinct 3003,Reject
654,Precinct 3003,Precinct 3003,Approve
655,Precinct 3003,Precinct 3003,Reject
656,Precinct 3003,Precinct 3003,Reject
657,Precinct 3003,Precinct 3003,Approve
658,Precinct 3003,Precinct 3003,Reject
659,Precinct 3003,Precinct 3003,Approve
660,Precinct 3003,Precinct 3003,Reject
661,Precinct 3003,Precinct 3003,Reject
662,Precinct 3003,Precinct 3003,Approve
663,Precinct 3003,Precinct 3003,Approve
664,Precinct 3003,Precinct 3003,Reject
665,Precinct 3003,Precinct 3003,Approve
666,Precinct 3003,Precinct 3003,Approve
667,Precinct 3003,Precinct 3003,Reject
668,Precinct 3003,Precinct 3003,Reject
669,Precinct 3003,Precinct 3003,Reject
670,Precinct 3003,Precinct 3003,Approve
671,Precinct 3003,Precinct 3003,Reject
672,Precinct 3003,Precinct 3003,Reject
673,Precinct 3003,Precinct 3003,Reject
674,Precinct 3003,Precinct 3003,Reject
675,Precinct 3003,Precinct 3003,Reject
676,Precinct 3003,Precinct 3003,Reject
677,Precinct 3003,Precinct 3003,Reject
678,Precinct 3003,Precinct 3003,Approve
679,Precinct 3003,Precinct 3003,Reject
680,Precinct 3003,Precinct 3003,Approve
681,Precinct 3003,Precinct 3003,Approve
682,Precinct 3003,Precinct 3003,Reject
